Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
single,1st phase - special contingent (Madeira Island),intermediate choice,Journalism and Communication,daytime,Secondary education,138.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 2nd cycle (6th/7th/8th year) or equiv,134.2,1,0,0,1,female,1,20,0,0,6,6,15.0,0,6,6,13.0,11.1,0.6,2.02,Graduate
married,Over 23 years old,first choice,Social Service (evening attendance),evening,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,143.0,0,0,0,1,female,0,40,0,5,9,9,15.88888889,3,7,7,14.14285714,12.7,3.7,-1.7,Graduate
single,Technological specialization diploma holders,first choice,Veterinary Nursing,daytime,Technological specialization course,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,120.0,1,0,1,1,female,0,32,0,0,6,5,10.6,0,6,4,11.3,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,113.2,1,0,0,1,female,0,24,0,0,6,1,10.0,0,6,3,10.5,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,146.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,135.8,1,0,0,1,female,0,18,0,0,7,6,13.98333333,0,7,6,13.98333333,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,148.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,143.5,0,0,0,1,female,0,18,0,0,6,6,13.0,0,6,6,12.83333333,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,145.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,148.9,1,0,0,1,female,1,18,0,0,6,6,13.66666667,0,6,6,13.0,10.8,1.4,1.74,Graduate
single,Over 23 years old,first choice,Agronomy,daytime,Secondary education,133.1,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,115.6,1,0,0,0,female,0,27,0,0,6,4,12.1,0,6,2,10.2,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,first choice,Management,daytime,Secondary education,160.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,159.3,0,0,0,1,female,0,18,0,0,5,5,14.4,0,5,5,15.4,7.6,2.6,0.32,Graduate
single,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,138.5,0,0,0,1,female,0,26,0,0,5,4,12.0,0,5,4,11.25,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,first choice,Basic Education,daytime,Secondary education,130.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Other - 11th year of schooling,133.2,1,0,0,1,female,0,19,0,0,6,6,14.16666667,0,6,6,13.66666667,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,intermediate choice,Social Service (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,,117.6,1,0,0,1,female,0,19,0,0,6,5,12.2,0,6,6,12.0,7.6,2.6,0.32,Graduate
single,3rd phase - general contingent,intermediate choice,Management,daytime,Secondary education,115.0,Portuguese,Secondary education,Basic education 1st cycle (4th/5th year) or equiv.,108.7,1,0,0,1,female,0,21,0,0,5,3,12.0,0,5,3,12.66666667,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,intermediate choice,Management,daytime,Secondary education,133.1,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,106.0,1,0,0,1,female,0,24,0,0,5,2,10.5,0,5,1,11.0,12.7,3.7,-1.7,Enrolled
single,2nd phase - general contingent,first choice,Basic Education,daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,122.6,0,0,0,1,female,0,20,0,0,6,1,11.5,0,6,6,10.1,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,134.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,127.4,1,0,0,1,female,0,18,0,0,6,5,12.2,0,6,5,12.2,10.8,1.4,1.74,Enrolled
single,Over 23 years old,first choice,Agronomy,daytime,Secondary education,133.1,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,100.0,0,0,0,1,female,0,30,0,0,6,3,12.0,0,6,1,11.3,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,first choice,Basic Education,daytime,Secondary education,133.1,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,95.0,1,0,1,0,female,0,22,0,0,7,6,11.5,0,7,6,13.16666667,11.1,0.6,2.02,Enrolled
single,Holders of other higher courses,first choice,Management,daytime,Higher education - degree,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 3rd cycle (9th/10th/11th year) or equiv,130.0,0,0,0,1,female,0,21,0,4,9,9,10.88888889,3,10,10,11.61538462,10.8,1.4,1.74,Graduate
single,Over 23 years old,first choice,Oral Hygiene,daytime,Secondary education,120.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,122.8,0,0,0,1,female,0,26,0,0,7,6,11.8,0,8,4,10.7,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,first choice,Management,daytime,Secondary education,115.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,115.0,1,0,0,1,female,0,23,0,0,5,2,10.0,0,5,1,12.0,9.4,-0.8,-3.12,Enrolled
single,2nd phase - general contingent,first choice,Communication Design,daytime,Secondary education,135.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,145.9,0,0,0,1,female,1,18,0,0,6,6,12.66666667,0,6,6,12.16666667,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,first choice,Communication Design,daytime,Secondary education,133.1,Portuguese,Secondary education,Basic education 1st cycle (4th/5th year) or equiv.,143.0,1,0,1,1,female,0,21,0,0,6,2,10.5,0,6,4,10.8,12.7,3.7,-1.7,Dropout
single,2nd phase - general contingent,intermediate choice,Veterinary Nursing,daytime,Secondary education,130.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,121.3,1,0,0,1,female,0,21,0,0,5,2,13.0,0,5,4,12.0,9.4,-0.8,-3.12,Enrolled
single,2nd phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,118.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,121.2,1,0,0,1,female,0,18,0,0,6,5,13.4,0,6,5,12.0,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,138.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,125.1,1,1,0,1,female,1,19,0,0,6,5,12.1,0,6,2,10.3,12.7,3.7,-1.7,Dropout
single,2nd phase - general contingent,first choice,Tourism,daytime,Secondary education,122.0,Portuguese,Secondary education,Secondary education,112.9,1,0,0,1,female,0,22,0,0,6,4,12.25,0,6,3,11.33333333,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,intermediate choice,Social Service,daytime,Secondary education,126.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,120.8,1,0,0,1,female,0,19,0,0,6,6,12.28571429,0,6,6,12.83333333,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,intermediate choice,Veterinary Nursing,daytime,Secondary education,121.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,114.0,1,0,0,0,female,0,19,0,0,5,4,11.7,0,5,1,11.6,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,first choice,Social Service,daytime,Secondary education,152.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,132.1,1,0,0,1,female,0,19,0,0,6,5,10.2,0,6,6,10.2,9.4,-0.8,-3.12,Dropout
married,Technological specialization diploma holders,first choice,Veterinary Nursing,daytime,Technological specialization course,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,160.0,0,0,0,1,female,0,27,0,0,5,3,14.0,0,5,5,12.0,9.4,-0.8,-3.12,Graduate
single,,first choice,Veterinary Nursing,daytime,Secondary education,134.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,134.0,1,0,0,1,female,0,22,0,2,5,5,14.2,0,5,5,12.2,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,first choice,Journalism and Communication,daytime,Secondary education,128.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary education,124.2,1,0,0,1,female,0,18,0,0,6,5,10.0,0,6,6,10.6,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,125.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,115.6,1,0,0,1,female,0,20,0,0,6,6,11.0,0,6,4,12.75,9.4,-0.8,-3.12,Graduate
married,Change of course,first choice,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,128.2,0,0,0,1,female,0,34,0,3,8,8,12.1,2,7,6,10.3,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,138.0,Portuguese,Secondary education,Basic education 2nd cycle (6th/7th/8th year) or equiv,132.8,1,0,0,1,female,0,18,0,0,7,6,12.38571429,0,8,8,13.75555556,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Secondary education,Secondary education,123.1,1,0,0,1,male,0,20,0,0,6,4,14.75,0,6,4,12.25,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,first choice,Equinculture,daytime,Secondary education,134.0,Brazilian,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,125.6,1,0,0,1,female,0,20,1,0,5,5,16.16666667,0,5,5,15.83333333,12.7,3.7,-1.7,Graduate
single,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Secondary education,Basic education 2nd cycle (6th/7th/8th year) or equiv,115.0,0,0,0,1,male,0,25,0,0,5,1,10.3,0,5,2,11.2,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,intermediate choice,Informatics Engineering,daytime,Secondary education,126.0,Portuguese,Higher education - degree,Basic education 3rd cycle (9th/10th/11th year) or equiv,123.6,1,0,0,1,male,0,18,0,0,5,1,11.0,0,5,1,11.8,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,first choice,Equinculture,daytime,Secondary education,148.0,Portuguese,Secondary education,Secondary education,141.7,0,0,0,0,male,0,18,0,0,6,1,10.8,0,6,6,10.0,8.9,1.4,3.51,Dropout
single,2nd phase - general contingent,first choice,Basic Education,daytime,Secondary education,160.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,139.0,1,0,0,1,female,1,18,0,0,6,2,11.5,0,6,3,10.6,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,first choice,Tourism,daytime,Secondary education,118.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,118.0,0,0,0,1,female,1,19,0,0,6,5,11.0,0,6,5,12.8,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,150.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,142.0,1,0,0,1,female,1,19,0,0,6,1,10.4,0,6,6,10.3,10.8,1.4,1.74,Dropout
single,Technological specialization diploma holders,first choice,Social Service,daytime,Secondary education,140.0,Portuguese,Secondary education,Secondary education,143.4,0,0,0,1,female,1,21,0,3,6,6,14.83333333,2,6,6,12.57142857,13.9,-0.3,0.79,Graduate
single,Transfer,first choice,Communication Design,daytime,Secondary education,100.0,Portuguese,Higher education - degree,Higher education - bachelor degree,115.9,0,0,0,1,female,0,29,0,9,10,9,11.55555556,7,11,10,11.9,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,first choice,Communication Design,daytime,Secondary education,110.0,Portuguese,Secondary education,Basic education 1st cycle (4th/5th year) or equiv.,105.1,1,0,0,1,female,1,20,0,0,6,6,12.0,0,6,6,11.83333333,12.4,0.5,1.79,Graduate
single,Change of institution/course,first choice,Social Service (evening attendance),evening,Professional higher technical course,140.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,138.0,1,0,1,1,female,1,21,0,13,13,11,12.72727273,9,11,10,12.6,8.9,1.4,3.51,Graduate
single,Change of course,first choice,Management (evening attendance),evening,Secondary education,133.1,Brazilian,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,114.7,0,0,0,1,female,0,34,1,2,2,2,10.5,1,1,2,11.0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,140.0,Cape Verdean,Secondary education,Basic education 1st cycle (4th/5th year) or equiv.,130.5,1,0,0,1,female,0,20,1,0,6,6,12.33333333,0,6,6,12.0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,134.3,0,0,0,1,male,0,24,0,0,5,1,11.2,0,5,1,10.9,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,148.0,Portuguese,Secondary education,Secondary education,137.5,0,0,0,1,male,0,18,0,0,7,7,14.84285714,0,8,8,14.38888889,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,137.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,125.3,0,0,0,1,male,0,19,0,0,7,7,12.2,0,7,7,12.2,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,first choice,Management,daytime,Secondary education,120.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,111.3,0,0,0,1,male,1,18,0,0,5,4,10.8,0,5,4,11.75,15.5,2.8,-4.06,Enrolled
single,Over 23 years old,last choice,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,144.8,0,0,0,1,male,0,28,0,0,5,4,12.75,0,5,5,14.33333333,10.8,1.4,1.74,Enrolled
single,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Secondary education,Secondary education,152.1,0,0,0,1,male,0,28,0,0,5,1,11.1,0,5,2,10.4,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,first choice,Tourism,daytime,Secondary education,132.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,126.1,0,0,0,1,male,0,20,0,0,6,6,10.9,0,6,5,11.8,7.6,2.6,0.32,Dropout
single,Change of course,first choice,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary education,Secondary education,136.0,1,0,0,1,male,0,22,0,0,8,8,12.55375,0,8,8,12.55375,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,128.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,124.3,1,0,0,1,male,0,19,0,0,8,7,12.66571429,0,8,7,12.66571429,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,first choice,Advertising and Marketing Management,daytime,Secondary education,132.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,129.9,1,0,0,1,male,0,20,0,0,6,6,12.71428571,0,6,4,13.0,12.4,0.5,1.79,Enrolled
single,Over 23 years old,intermediate choice,Oral Hygiene,daytime,Secondary education,133.1,Portuguese,Higher education - degree,Secondary education,136.1,0,0,0,1,male,0,26,0,0,7,2,10.1,0,5,6,10.3,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,115.1,1,0,0,0,male,0,21,0,0,6,1,11.1,0,6,2,10.8,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,first choice,Management,daytime,Secondary education,127.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 2nd cycle (6th/7th/8th year) or equiv,115.8,1,0,0,1,male,0,18,0,0,5,5,13.4,0,5,5,12.2,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,intermediate choice,Animation and Multimedia Design,daytime,Secondary education,135.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,149.0,1,0,0,1,male,0,22,0,14,17,17,12.57894737,15,17,17,12.11764706,11.1,0.6,2.02,Graduate
married,Over 23 years old,first choice,Informatics Engineering,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,100.0,0,0,0,1,male,0,36,0,0,5,3,11.2,0,5,2,11.3,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,first choice,Journalism and Communication,daytime,Secondary education,125.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,133.4,1,0,0,1,male,1,20,0,0,6,6,12.0,0,6,6,11.5,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,intermediate choice,Advertising and Marketing Management,daytime,Secondary education,127.0,Portuguese,Higher education - degree,Higher education - master,122.8,0,0,0,1,male,0,20,0,0,6,5,10.3,0,6,5,10.8,10.8,1.4,1.74,Dropout
single,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary education,151.2,0,0,0,1,male,0,25,0,0,5,3,10.3,0,5,3,10.8,12.4,0.5,1.79,Dropout
single,Over 23 years old,first choice,Agronomy,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 3rd cycle (9th/10th/11th year) or equiv,137.0,0,0,0,1,male,0,35,0,1,6,5,12.8,1,6,5,13.83333333,15.5,2.8,-4.06,Graduate
single,Change of course,first choice,Communication Design,daytime,Secondary education,150.0,Portuguese,Higher education - degree,Technological specialization course,126.4,0,0,0,1,male,0,26,0,5,7,7,13.28571429,3,8,7,12.14285714,12.4,0.5,1.79,Enrolled
single,Technological specialization diploma holders,first choice,Agronomy,daytime,Technological specialization course,130.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,130.0,0,0,1,0,male,0,20,0,0,6,3,10.7,0,6,4,10.1,16.2,0.3,-0.92,Dropout
single,Change of course,first choice,Social Service (evening attendance),evening,Other - 11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary education,112.5,0,0,0,1,male,0,50,0,6,13,9,11.0,2,11,10,11.1,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,125.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,118.3,0,0,0,1,male,0,20,0,0,8,5,10.7,0,8,7,10.8,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,127.0,Portuguese,Higher education - degree,Secondary education,121.4,0,0,0,1,male,0,20,0,0,7,5,13.97666667,0,8,8,13.22222222,12.4,0.5,1.79,Enrolled
single,Holders of other higher courses,first choice,Agronomy,daytime,Higher education - degree,140.0,Portuguese,Higher education - degree,Basic education 3rd cycle (9th/10th/11th year) or equiv,140.0,0,0,0,0,male,0,35,0,0,6,1,10.7,1,6,3,11.1,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,first choice,Advertising and Marketing Management,daytime,Secondary education,110.0,Portuguese,Higher education - degree,Basic education 3rd cycle (9th/10th/11th year) or equiv,109.0,0,0,0,1,male,1,19,0,0,6,6,13.14285714,0,6,6,14.16666667,15.5,2.8,-4.06,Graduate
married,Over 23 years old,intermediate choice,Management,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,110.0,0,0,0,1,male,0,43,0,0,5,3,10.6,0,5,1,11.1,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,intermediate choice,Nursing,daytime,Secondary education,124.0,Portuguese,Higher education - degree,Basic education 2nd cycle (6th/7th/8th year) or equiv,119.8,0,0,0,1,male,0,19,0,0,8,7,13.86714286,0,8,7,13.86714286,10.8,1.4,1.74,Graduate
single,Over 23 years old,first choice,Nursing,daytime,Secondary education,114.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,130.0,0,0,0,1,male,0,25,0,0,8,6,12.675,0,8,6,12.675,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,114.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,111.9,1,0,0,1,male,1,20,0,0,6,6,12.0,0,6,6,12.5,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,first choice,Tourism,daytime,Secondary education,125.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,124.0,0,0,0,1,male,1,19,0,0,6,4,11.2,0,6,4,10.8,11.1,0.6,2.02,Dropout
married,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,132.9,0,0,0,1,male,0,32,0,0,5,1,10.1,0,5,3,11.6,13.9,-0.3,0.79,Dropout
married,Over 23 years old,first choice,Journalism and Communication,daytime,Basic education 2nd cycle (6th/7th/8th year) or equiv,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,154.0,1,0,0,1,male,0,57,0,0,6,5,14.2,0,6,6,14.16666667,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,133.1,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,115.0,0,0,0,0,male,0,20,0,0,7,6,11.8,0,7,7,11.3,16.2,0.3,-0.92,Dropout
single,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Secondary education,Secondary education,96.0,1,0,0,0,male,0,38,0,0,5,4,10.2,0,5,4,10.9,8.9,1.4,3.51,Dropout
married,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Higher education - degree,168.2,0,0,0,1,male,0,45,0,0,5,5,14.0,0,5,5,14.16666667,12.4,0.5,1.79,Graduate
married,Over 23 years old,first choice,Journalism and Communication,daytime,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,140.0,0,0,1,0,male,0,43,0,0,6,5,10.7,0,6,1,10.3,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,intermediate choice,Communication Design,daytime,Secondary education,144.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Secondary education,137.4,1,0,0,1,male,0,19,0,0,6,6,13.83333333,0,6,6,13.125,10.8,1.4,1.74,Graduate
married,Over 23 years old,first choice,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.1,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,150.0,0,0,0,0,male,0,49,0,0,5,1,10.2,0,5,2,10.6,15.5,2.8,-4.06,Dropout
married,Over 23 years old,first choice,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 2nd cycle (6th/7th/8th year) or equiv,100.5,1,0,0,1,male,0,43,0,0,8,7,11.63571429,0,8,7,11.63571429,10.8,1.4,1.74,Enrolled
single,Over 23 years old,first choice,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 2nd cycle (6th/7th/8th year) or equiv,148.5,0,0,0,1,male,0,34,0,0,6,3,11.0,0,5,6,10.3,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,intermediate choice,Informatics Engineering,daytime,Secondary education,138.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,123.3,1,0,1,1,male,0,18,0,0,5,4,12.5,0,5,5,11.28571429,12.4,0.5,1.79,Enrolled
married,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,138.7,0,0,0,1,male,0,43,0,0,5,5,13.8,0,5,5,13.66666667,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,120.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Secondary education,117.2,0,0,0,1,male,0,21,0,0,6,5,10.4,0,6,4,10.3,15.5,2.8,-4.06,Dropout
married,Over 23 years old,first choice,Management (evening attendance),evening,Secondary education,160.0,Portuguese,,,114.3,0,0,0,1,male,0,40,0,0,5,3,11.0,0,5,4,12.5,7.6,2.6,0.32,Enrolled
